timepoint	channel	biorep	CMO
d0	channel1	rep1	CMO01
d0	channel1	rep2	CMO02
d0	channel1	rep3	CMO03
d0	channel1	rep4	CMO04
d0	channel1	rep5	CMO05
d0	channel2	rep1	CMO01
d0	channel2	rep2	CMO02
d0	channel2	rep3	CMO03
d0	channel2	rep4	CMO04
d0	channel2	rep5	CMO05
d1	channel1	rep1	CMO06
d1	channel1	rep2	CMO07
d1	channel1	rep3	CMO08
d1	channel1	rep4	CMO09
d1	channel1	rep5	CMO10
d1	channel2	rep1	CMO06
d1	channel2	rep2	CMO07
d1	channel2	rep3	CMO08
d1	channel2	rep4	CMO09
d1	channel2	rep5	CMO10
d2	channel1	rep1	CMO11
d2	channel1	rep2	CMO12
d2	channel1	rep3	CMO13
d2	channel1	rep4	CMO14
d2	channel1	rep5	CMO15
d2	channel2	rep1	CMO11
d2	channel2	rep2	CMO12
d2	channel2	rep3	CMO13
d2	channel2	rep4	CMO14
d2	channel2	rep5	CMO15
d3	channel1	rep1	CMO16
d3	channel1	rep2	CMO17
d3	channel1	rep3	CMO18
d3	channel1	rep4	CMO19
d3	channel1	rep5	CMO20
d3	channel2	rep1	CMO16
d3	channel2	rep2	CMO17
d3	channel2	rep3	CMO18
d3	channel2	rep4	CMO19
d3	channel2	rep5	CMO20
d4	channel1	rep1	CMO21
d4	channel1	rep2	CMO22
d4	channel1	rep3	CMO23
d4	channel1	rep4	CMO24
d4	channel1	rep5	CMO25
d4	channel2	rep1	CMO21
d4	channel2	rep2	CMO22
d4	channel2	rep3	CMO23
d4	channel2	rep4	CMO24
d4	channel2	rep5	CMO25
